"filename", "language", "HTML", "JavaScript", "Python", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\app.py", "Python", 0, 0, 161, 0, 0, 0, 84, 245
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\database\db.py", "Python", 0, 0, 6, 0, 0, 0, 3, 9
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\database\initDB.py", "Python", 0, 0, 66, 0, 0, 0, 39, 105
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\database\notifications.py", "Python", 0, 0, 36, 0, 0, 0, 19, 55
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\database\pledges.py", "Python", 0, 0, 25, 0, 0, 0, 12, 37
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\database\quest.py", "Python", 0, 0, 59, 0, 0, 0, 32, 91
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\database\rough.py", "Python", 0, 0, 8, 0, 0, 2, 7, 17
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\helpers\questID.py", "Python", 0, 0, 19, 0, 0, 0, 9, 28
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\helpers\userID.py", "Python", 0, 0, 26, 0, 0, 0, 15, 41
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\images\log-out.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\images\square-pen.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\js\camera.js", "JavaScript", 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\js\canvas.js", "JavaScript", 0, 20, 0, 0, 0, 0, 14, 34
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\js\drawFrame.js", "JavaScript", 0, 5, 0, 0, 0, 0, 6, 11
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\js\drawQuest.js", "JavaScript", 0, 223, 0, 0, 0, 1, 98, 322
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\js\loadQuest.js", "JavaScript", 0, 11, 0, 0, 0, 0, 9, 20
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\js\main.js", "JavaScript", 0, 42, 0, 0, 0, 0, 22, 64
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\js\pointerEvents.js", "JavaScript", 0, 73, 0, 0, 0, 0, 42, 115
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\js\profile.js", "JavaScript", 0, 54, 0, 0, 0, 1, 24, 79
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\js\quest.js", "JavaScript", 0, 179, 0, 0, 0, 1, 73, 253
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\js\questDisplay.js", "JavaScript", 0, 29, 0, 0, 0, 0, 7, 36
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\js\renders.js", "JavaScript", 0, 49, 0, 0, 0, 0, 22, 71
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\js\state.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 11
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\js\strokeEditor.js", "JavaScript", 0, 36, 0, 0, 0, 0, 16, 52
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\templates\landingPage.html", "HTML", 183, 0, 0, 0, 0, 0, 35, 218
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\templates\mainPage.html", "HTML", 881, 0, 0, 0, 0, 0, 142, 1023
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\templates\myQuestPage.html", "HTML", 207, 0, 0, 0, 0, 0, 30, 237
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\templates\notificationsPage.html", "HTML", 130, 0, 0, 0, 0, 0, 31, 161
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\templates\profilePage.html", "HTML", 521, 0, 0, 0, 0, 0, 101, 622
"Total", "-", 1922, 737, 406, 2, 1, 5, 894, 3967
