"filename", "language", "HTML", "Python", "JavaScript", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\app.py", "Python", 0, 250, 0, 0, 0, 0, 144, 394
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\database\db.py", "Python", 0, 6, 0, 0, 0, 0, 3, 9
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\database\initDB.py", "Python", 0, 75, 0, 0, 0, 0, 45, 120
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\database\notifications.py", "Python", 0, 57, 0, 0, 0, 0, 31, 88
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\database\pledges.py", "Python", 0, 71, 0, 0, 0, 0, 48, 119
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\database\quest.py", "Python", 0, 86, 0, 0, 0, 0, 53, 139
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\database\rough.py", "Python", 0, 8, 0, 0, 0, 0, 5, 13
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\helpers\questID.py", "Python", 0, 19, 0, 0, 0, 0, 9, 28
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\helpers\userID.py", "Python", 0, 26, 0, 0, 0, 0, 15, 41
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\images\log-out.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\images\square-pen.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\js\boardChunks.js", "JavaScript", 0, 0, 57, 0, 0, 0, 38, 95
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\js\boardDecoration.js", "JavaScript", 0, 0, 28, 0, 0, 2, 24, 54
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\js\camera.js", "JavaScript", 0, 0, 5, 0, 0, 0, 2, 7
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\js\canvas.js", "JavaScript", 0, 0, 20, 0, 0, 0, 14, 34
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\js\drawFrame.js", "JavaScript", 0, 0, 5, 0, 0, 0, 6, 11
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\js\drawQuest.js", "JavaScript", 0, 0, 359, 0, 0, 1, 147, 507
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\js\loadQuest.js", "JavaScript", 0, 0, 11, 0, 0, 0, 9, 20
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\js\main.js", "JavaScript", 0, 0, 42, 0, 0, 0, 22, 64
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\js\pointerEvents.js", "JavaScript", 0, 0, 73, 0, 0, 0, 42, 115
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\js\profile.js", "JavaScript", 0, 0, 54, 0, 0, 1, 24, 79
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\js\quest.js", "JavaScript", 0, 0, 257, 0, 0, 1, 98, 356
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\js\questDisplay.js", "JavaScript", 0, 0, 29, 0, 0, 0, 7, 36
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\js\renders.js", "JavaScript", 0, 0, 51, 0, 0, 0, 25, 76
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\js\state.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 11
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\static\js\strokeEditor.js", "JavaScript", 0, 0, 36, 0, 0, 0, 16, 52
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\templates\landingPage.html", "HTML", 183, 0, 0, 0, 0, 0, 35, 218
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\templates\mainPage.html", "HTML", 1145, 0, 0, 0, 0, 0, 208, 1353
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\templates\myQuestPage.html", "HTML", 497, 0, 0, 0, 0, 0, 120, 617
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\templates\notificationsPage.html", "HTML", 142, 0, 0, 0, 0, 0, 34, 176
"c:\Users\prash\OneDrive\Desktop\Hackclub 2\GuildHall\templates\profilePage.html", "HTML", 578, 0, 0, 0, 0, 0, 115, 693
"Total", "-", 2545, 598, 1038, 1, 2, 5, 1339, 5528
